timestamp,event,hw_timestamp,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1606940421006005760,pose_received,1606940421004797112,-1.570,-0.017,0.035,-1.570,-1.535,-0.297
1606940421025641216,pose_received,1606940421024796110,-1.570,-0.017,0.035,-1.570,-1.535,-0.297
1606940421045902080,pose_received,1606940421044787108,-1.570,-0.017,0.035,-1.570,-1.535,-0.297
1606940421065983488,pose_received,1606940421064783406,-1.570,-0.017,0.035,-1.570,-1.535,-0.297
1606940421086005760,pose_received,1606940421085018203,-1.570,-0.017,0.035,-1.570,-1.535,-0.297
1606940421105369600,pose_received,1606940421104797902,-1.570,-0.017,0.035,-1.570,-1.535,-0.297
1606940421125493760,pose_received,1606940421124797701,-1.570,-0.017,0.035,-1.570,-1.535,-0.297
1606940421145924608,pose_received,1606940421144796599,-1.570,-0.017,0.035,-1.570,-1.535,-0.297
1606940421165918976,pose_received,1606940421164792097,-1.570,-0.017,0.035,-1.570,-1.535,-0.297
1606940421185912320,pose_received,1606940421184836795,-1.570,-0.017,0.035,-1.570,-1.535,-0.297
1606940421206073344,pose_received,1606940421204796893,-1.570,-0.017,0.035,-1.570,-1.535,-0.297
1606940421225710080,pose_received,1606940421224799991,-1.570,-0.017,0.035,-1.570,-1.535,-0.297
1606940421245490176,pose_received,1606940421244796989,-1.570,-0.017,0.035,-1.570,-1.535,-0.297
1606940421265922304,pose_received,1606940421264792487,-1.570,-0.017,0.035,-1.570,-1.535,-0.297
1606940421286517504,pose_received,1606940421285408882,-1.570,-0.017,0.035,-1.570,-1.535,-0.297
1606940421305768192,pose_received,1606940421304859583,-1.570,-0.017,0.035,-1.570,-1.535,-0.297
1606940421325859328,pose_received,1606940421324805082,-1.570,-0.017,0.035,-1.570,-1.535,-0.297
1606940421345862144,pose_received,1606940421344811780,-1.570,-0.017,0.035,-1.570,-1.535,-0.297
1606940421365906944,pose_received,1606940421364805078,-1.570,-0.017,0.035,-1.570,-1.535,-0.297
1606940421385479680,pose_received,1606940421384794676,-1.570,-0.017,0.035,-1.570,-1.535,-0.297
